block_number,execution_time_us,hint_construction_time_us,hint_write_time_us,rss_bytes
24019905,58408,2345,11450,8017543168
24019906,434017,27741,13285,8025849856
24019907,549229,14690,13266,8037351424
24019908,403874,22284,14277,8047673344
24019909,646388,24310,13387,8062189568
24019910,527768,12218,12307,8073396224
24019911,259612,14047,13050,8079720448
24019912,396597,16438,13775,8089026560
24019913,440645,12696,12945,8097513472
24019914,313203,19485,14386,8104509440
24019915,850940,34153,11752,8130052096
24019916,396543,22601,13283,8138375168
24019917,789861,30898,13136,8155545600
24019918,498192,25204,15329,8166113280
24019919,451939,30016,14629,8175648768
24019920,331758,9119,13561,8182284288
24019921,276945,15535,13180,8188510208
24019922,456123,26272,14537,8198635520
24019923,409059,36799,16010,8208580608
24019924,509153,19931,14229,8220524544
24019925,412230,28374,13171,8229339136
24019926,481501,13924,11817,8237039616
24019927,447153,26966,16204,8248541184
24019928,401303,23033,13531,8256929792
24019929,480705,27567,15016,8265924608
24019930,385394,17411,14029,8273821696
24019931,324068,28333,14911,8280571904
24019932,366549,18196,14320,8287322112
24019933,697748,22165,12082,8302526464
24019934,248320,15829,13755,8309325824
24019935,500192,32276,14107,8319975424
24019936,208851,13262,12754,8323629056
24019937,769205,48108,13421,8339456000
24019938,247003,16070,13848,8344993792
24019939,518086,36302,14533,8355627008
24019940,584841,32814,14650,8367980544
24019941,615280,24152,14362,8380891136
24019942,163914,8619,11489,8384724992
24019943,508665,45041,15223,8395096064
24019944,397119,28976,12729,8402124800
24019945,398500,26500,14360,8410529792
24019946,233075,17653,13523,8415313920
24019947,511353,29718,14256,8424849408
24019948,262025,21983,12245,8429993984
24019949,422022,22386,14250,8439119872
24019950,445305,27521,14389,8447983616
24019951,397332,33580,14339,8456650752
24019952,354868,37837,13842,8463728640
24019953,629043,18831,13404,8475017216
24019954,355423,21883,14327,8485289984
24019955,633420,26029,13046,8499363840
24019956,124301,7867,12743,8502263808
24019957,671382,21965,8998,8514895872
24019958,584881,33618,14837,8525692928
24019959,85168,13692,13368,8526381056
24019960,813061,44365,12422,8541552640
24019961,478612,38373,14014,8551645184
24019962,749264,44233,14638,8568569856
24019963,293474,24053,15754,8575729664
24019964,138336,10174,12355,8577794048
24019965,329941,28298,12690,8583774208
24019966,149171,6656,12323,8587526144
24019967,369828,28993,13734,8592900096
24019968,364967,29120,12439,8598913024
24019969,200970,12840,12732,8603844608
24019970,307579,15237,15067,8610988032
24019971,563345,26784,13437,8620589056
24019972,593050,53779,15043,8632942592
24019973,567487,43406,14385,8646918144
24019974,593613,30825,14207,8658796544
24019975,431024,33094,14129,8668528640
24019976,524839,33534,14313,8679276544
24019977,231618,18568,13327,8683601920
24019978,384198,26257,12724,8691712000
24019979,148226,11517,12748,8694546432
24019980,151705,8156,11519,8697298944
24019981,366271,21252,14399,8705753088
24019982,701099,46907,13533,8720809984
24019983,344573,20650,12356,8728657920
24019984,599129,13157,12040,8738897920
24019985,179185,5714,13418,8744583168
24019986,310326,10332,12751,8751546368
24019987,241334,12981,12803,8757657600
24019988,563987,38724,12861,8770109440
24019989,462697,22816,13553,8780300288
24019990,365818,20588,13127,8787214336
24019991,198275,15599,13712,8791785472
24019992,111083,6987,12743,8793440256
24019993,778988,50774,16105,8809496576
24019994,351537,23493,15673,8817360896
24019995,280200,18247,13628,8822898688
24019996,113136,9466,13567,8825602048
24019997,291804,18905,12785,8831418368
24019998,252093,22282,14484,8836399104
24019999,794760,45495,14677,8853356544
24020000,334363,22036,14346,8860303360
24020001,250334,20042,12223,8865005568
24020002,347206,32688,13967,8871624704
24020003,342641,23962,13800,8879718400
24020004,291211,15977,13007,8886386688
24020005,320714,25830,13832,8892235776
24020006,295650,14260,12044,8898576384
24020007,457422,31159,14491,8908521472
24020008,298864,20627,13068,8914092032
24020009,306752,28785,13184,8920334336
24020010,410303,41977,13001,8930279424
24020011,368665,22870,12740,8937439232
24020012,473382,27046,12638,8946728960
24020013,256469,11887,11811,8952168448
24020014,335874,31135,14159,8958803968
24020015,484681,28397,13370,8968306688
24020016,428740,30665,13695,8976302080
24020017,424719,32823,13586,8987246592
24020018,456009,31439,15027,8995880960
24020019,113661,8633,11989,8997847040
24020020,575378,39235,13826,9009725440
24020021,421299,39675,14313,9017786368
24020022,348466,23816,13268,9024012288
24020023,308509,21429,12921,9030139904
