block_number,cache_size_bytes
24020136,2572026
24020137,3088746
24020138,2956784
24020139,2817971
24020140,3186253
24020141,2910791
24020142,2502357
24020143,2384740
24020144,661862
24020145,6048270
24020146,2561497
24020147,2284050
24020148,1199808
24020149,3329999
24020150,3012309
24020151,3181615
24020152,2543961
24020153,4562667
24020154,2793308
24020155,1998964
24020156,3743186
24020157,3272491
24020158,2406818
24020159,3301908
24020160,2442341
24020161,3626091
24020162,4100235
24020163,2097990
24020164,3888122
24020165,3087289
24020166,2098316
24020167,772091
24020168,1202661
24020169,5237387
24020170,2857636
24020171,2825246
24020172,2922019
24020173,2537984
24020174,4025626
24020175,2824298
24020176,3173418
24020177,3650527
24020178,2615050
24020179,3263964
24020180,2578917
24020181,2012998
24020182,5183284
24020183,2721675
24020184,3498221
24020185,3345324
24020186,3138770
24020187,3115388
24020188,4108063
24020189,2034397
24020190,2144123
24020191,753541
24020192,3569686
24020193,3243153
24020194,3179579
24020195,3485259
24020196,2801516
24020197,3516836
24020198,4474745
24020199,2997840
24020200,1163855
24020201,814497
24020202,6062007
24020203,5552272
24020204,3413026
24020205,3653615
24020206,2866944
24020207,2078420
24020208,3262915
24020209,3744509
24020210,2291894
24020211,3771410
24020212,591902
24020213,3748043
24020214,3448714
24020215,2542201
24020216,4717468
24020217,1898021
24020218,4113837
24020219,3797240
24020220,2749360
24020221,1660951
24020222,2262660
24020223,3912529
24020224,2610757
24020225,2719351
24020226,2487850
24020227,2315410
24020228,2713605
24020229,4029669
24020230,2694513
24020231,4802695
24020232,3678185
24020233,2325568
24020234,2091085
24020235,3097331
24020236,2745155
24020237,2088930
24020238,3172050
24020239,2560043
24020240,2012427
24020241,3889915
24020242,2622481
24020243,4059417
24020244,3141010
24020245,2957700
24020246,3671565
24020247,664248
24020248,3290355
24020249,5047212
24020250,1295738
24020251,5438666
24020252,3620328
24020253,2510224
24020254,6170418
24020255,3834331
24020256,4322813
24020257,4038021
24020258,32308
24020259,6880813
24020260,1296218
24020261,5562572
24020262,3001547
24020263,3448867
24020264,2902711
24020265,2477123
24020266,3281398
24020267,3147884
24020268,3381627
24020269,909829
24020270,5593791
24020271,2539075
24020272,2757046
24020273,1351955
24020274,4367570
24020275,2656300
24020276,2474148
24020277,1460204
24020278,2961392
24020279,806098
24020280,4468426
24020281,3372143
24020282,3990769
24020283,3757841
24020284,3679946
24020285,2693492
24020286,3009777
24020287,4104732
24020288,3526794
24020289,2723916
24020290,3339711
24020291,3360287
24020292,2984426
24020293,3172222
24020294,3449223
24020295,3060166
24020296,871385
24020297,4178663
24020298,3649276
24020299,2608079
24020300,4226511
24020301,5376598
24020302,4432787
24020303,3874536
24020304,561568
24020305,3561798
24020306,2687053
24020307,2992554
24020308,3448816
24020309,5375582
24020310,4838199
24020311,4200390
24020312,2657884
24020313,376706
24020314,5287460
24020315,4788123
24020316,4650889
24020317,804352
24020318,5336522
24020319,3631883
24020320,1987723
24020321,3027950
24020322,2918577
24020323,2488190
24020324,3417435
24020325,3584657
24020326,2760868
24020327,3633315
24020328,2752983
24020329,3418608
24020330,2311996
24020331,3035758
24020332,2757388
24020333,559421
24020334,4711036
24020335,4801074
24020336,4327642
24020337,3575930
24020338,4857299
24020339,4586253
24020340,3836081
24020341,4624799
24020342,5906328
24020343,4307290
24020344,2272128
24020345,3389812
24020346,3259527
24020347,2866770
24020348,3464143
24020349,5187031
24020350,558325
24020351,4463219
24020352,5604276
24020353,5200084
24020354,3554956
24020355,1859605
24020356,4459414
24020357,5575909
24020358,3829962
24020359,2990906
24020360,2853450
24020361,3378902
24020362,4665607
24020363,3110979
24020364,2473319
24020365,3327424
24020366,4759686
24020367,2847154
24020368,796409
24020369,5185798
24020370,3244956
24020371,1181353
24020372,2016862
24020373,6912329
24020374,5435187
24020375,3677310
24020376,4655228
24020377,813426
24020378,5199868
24020379,3653061
24020380,3618677
24020381,1962805
24020382,806476
24020383,4077064
24020384,4045655
24020385,3228912
24020386,4222111
24020387,3958757
24020388,4289177
24020389,3671357
24020390,1586451
24020391,5081934
24020392,3083396
24020393,2981792
24020394,4060057
24020395,3177173
24020396,3276926
24020397,4277572
24020398,1469393
24020399,5961968
24020400,4695933
24020401,3265871
24020402,4058242
24020403,2765915
24020404,3425126
24020405,2923591
24020406,2298589
24020407,2492985
24020408,4333423
24020409,4363649
24020410,4282072
24020411,5415657
24020412,2499407
24020413,3917473
24020414,4700559
24020415,2460591
24020416,3995883
