op_type,op_name,value_bytes,count
11,CREATE,1360,1
11,CREATE,1361,2
11,CREATE,1362,1
11,CREATE,1366,1
11,CREATE,1367,1
11,CREATE,1372,1
11,CREATE,1375,1
11,CREATE,1379,3
11,CREATE,1381,3
11,CREATE,1382,6
11,CREATE,1387,1
11,CREATE,1388,1
11,CREATE,1392,1
11,CREATE,1395,2
11,CREATE,1399,1
11,CREATE,1404,1
11,CREATE,1411,2
11,CREATE,1412,1
11,CREATE,1413,1
11,CREATE,1415,1
11,CREATE,1416,1
11,CREATE,1419,6
11,CREATE,1421,1
11,CREATE,1427,1
11,CREATE,1430,1
11,CREATE,1434,1
11,CREATE,1436,1
11,CREATE,1437,2
11,CREATE,1440,1
11,CREATE,1441,2
11,CREATE,1443,9
11,CREATE,1445,1
11,CREATE,1449,1
11,CREATE,1450,1
11,CREATE,1452,1221
11,CREATE,1453,3
11,CREATE,1457,1
11,CREATE,1462,1
11,CREATE,1463,3
11,CREATE,1467,1
11,CREATE,1468,1
11,CREATE,1471,1
11,CREATE,1473,6
11,CREATE,1475,1
11,CREATE,1481,1
11,CREATE,1490,1
11,CREATE,1493,1
11,CREATE,1494,1
11,CREATE,1495,2
11,CREATE,1499,2
11,CREATE,1500,1
11,CREATE,1504,1
11,CREATE,1505,1
11,CREATE,1517,2
11,CREATE,1523,1
11,CREATE,1527,4
11,CREATE,1529,1
11,CREATE,1530,2
